mpn,lcsc,package,manufacturer,source,checked_at
CC0402JRNPO9BN101,C106200,0402,YAGEO,jlcparts SQLite,2026-09-05T12:47:21.085180+00:00
CC0402JRX7R8BB102,C541442,0402,YAGEO,jlcparts SQLite,2026-09-05T12:47:21.094180+00:00
CC0402JRX7R8BB103,C541443,0402,YAGEO,jlcparts SQLite,2026-09-05T12:47:21.090180+00:00
CC0402JRX7R8BB104,C541465,0402,YAGEO,jlcparts SQLite,2026-09-05T12:47:21.081180+00:00
CC0402KRX7R8BB224,C723566,0402,YAGEO,jlcparts SQLite,2026-09-05T12:47:21.100180+00:00
CC0402KRX7R8BB332,C272874,0402,YAGEO,jlcparts SQLite,2026-09-05T12:47:21.109180+00:00
CC0402KRX7R8BB473,C107020,0402,YAGEO,jlcparts SQLite,2026-09-05T12:47:21.114181+00:00
CC0402MRX5R5BB225,C106860,0402,YAGEO,jlcparts SQLite,2026-09-05T12:47:21.105182+00:00
CC0402MRX5R5BB475,C106859,0402,YAGEO,jlcparts SQLite,2026-09-05T12:47:21.118180+00:00
CC0603JRNPO9BN101,C14665,0603,YAGEO,jlcparts SQLite,2026-09-05T12:46:35.028034+00:00
CC0603JRNPO9BN102,C106246,0603,YAGEO,jlcparts SQLite,2026-09-05T12:46:35.053149+00:00
CC0603JRNPO9BN103,C389113,0603,YAGEO,jlcparts SQLite,2026-09-05T12:46:35.064150+00:00
CC0603JRNPO9BN151,C107038,0603,YAGEO,jlcparts SQLite,2026-09-05T12:46:35.032034+00:00
CC0603JRNPO9BN152,C107039,0603,YAGEO,jlcparts SQLite,2026-09-05T12:46:35.055149+00:00
CC0603JRNPO9BN221,C106210,0603,YAGEO,jlcparts SQLite,2026-09-05T12:46:35.044156+00:00
CC0603JRNPO9BN222,C107043,0603,YAGEO,jlcparts SQLite,2026-09-05T12:46:35.057150+00:00
CC0603JRNPO9BN331,C62784,0603,YAGEO,jlcparts SQLite,2026-09-05T12:46:35.046156+00:00
CC0603JRNPO9BN332,C107048,0603,YAGEO,jlcparts SQLite,2026-09-05T12:46:35.059149+00:00
CC0603JRNPO9BN471,C106211,0603,YAGEO,jlcparts SQLite,2026-09-05T12:46:35.049156+00:00
CC0603JRNPO9BN681,C107055,0603,YAGEO,jlcparts SQLite,2026-09-05T12:46:35.051151+00:00
CC0603JRNPO9BN682,C513559,0603,YAGEO,jlcparts SQLite,2026-09-05T12:46:35.062149+00:00
CC0603JRX7R8BB334,C519579,0603,YAGEO,jlcparts SQLite,2026-09-05T12:46:35.075149+00:00
CC0603KRX5R8BB225,C309478,0603,YAGEO,jlcparts SQLite,2026-09-05T12:46:35.082150+00:00
CC0603KRX5R8BB475,C326580,0603,YAGEO,jlcparts SQLite,2026-09-05T12:49:23.341188+00:00
CC0603KRX5R8BB684,C327005,0603,YAGEO,jlcparts SQLite,2026-09-05T12:46:35.078150+00:00
CC0603KRX5R9BB225,C326557,0603,YAGEO,jlcparts SQLite,2026-09-05T12:49:23.326188+00:00
CC0603KRX7R9BB101,C160903,0603,YAGEO,jlcparts SQLite,2026-09-05T12:47:21.124187+00:00
CC0603KRX7R9BB102,C100040,0603,YAGEO,jlcparts SQLite,2026-09-05T12:47:21.133180+00:00
CC0603KRX7R9BB103,C100042,0603,YAGEO,jlcparts SQLite,2026-09-05T12:47:21.129180+00:00
CC0603KRX7R9BB105,C559769,0603,YAGEO,jlcparts SQLite,2026-09-05T12:47:21.137180+00:00
CC0603KRX7R9BB224,C107083,0603,YAGEO,jlcparts SQLite,2026-09-05T12:49:23.320196+00:00
CC0603KRX7R9BB473,C107093,0603,YAGEO,jlcparts SQLite,2026-09-05T12:49:23.336188+00:00
CC0603KRX7R9BB474,C513577,0603,YAGEO,jlcparts SQLite,2026-09-05T12:49:23.331196+00:00
CC0805KRX7R9BB473,C107154,0805,YAGEO,jlcparts SQLite,2026-09-05T12:47:21.142187+00:00
CC1206KRX7R9BB104,C82601,1206,YAGEO,jlcparts SQLite,2026-09-05T12:49:23.351188+00:00
RC0402FR-070RL,C106231,0402,YAGEO,jlcparts SQLite,2026-09-05T12:46:35.084149+00:00
RC0402FR-07100KL,C60491,0402,YAGEO,jlcparts SQLite,2026-09-05T12:46:35.095150+00:00
RC0402FR-07105KL,C171671,0402,YAGEO,jlcparts SQLite,2026-09-05T12:46:35.112150+00:00
RC0402FR-07105RL,C171696,0402,YAGEO,jlcparts SQLite,2026-09-05T12:46:35.106149+00:00
RC0402FR-0710K5L,C171695,0402,YAGEO,jlcparts SQLite,2026-09-05T12:46:35.110149+00:00
RC0402FR-0710KL,C60490,0402,YAGEO,jlcparts SQLite,2026-09-05T12:46:35.093149+00:00
RC0402FR-0710ML,C138067,0402,YAGEO,jlcparts SQLite,2026-09-05T12:46:35.099150+00:00
RC0402FR-0710R5L,C477603,0402,YAGEO,jlcparts SQLite,2026-09-05T12:46:35.103150+00:00
RC0402FR-0710RL,C138066,0402,YAGEO,jlcparts SQLite,2026-09-05T12:46:35.088150+00:00
RC0402FR-07110KL,C138065,0402,YAGEO,jlcparts SQLite,2026-09-05T12:46:35.128149+00:00
RC0402FR-07110RL,C138064,0402,YAGEO,jlcparts SQLite,2026-09-05T12:46:35.122149+00:00
RC0402FR-07115KL,C273341,0402,YAGEO,jlcparts SQLite,2026-09-05T12:46:35.144149+00:00
RC0402FR-07115RL,C295872,0402,YAGEO,jlcparts SQLite,2026-09-05T12:46:35.137150+00:00
RC0402FR-0711K5L,C295874,0402,YAGEO,jlcparts SQLite,2026-09-05T12:46:35.142150+00:00
RC0402FR-0711KL,C138063,0402,YAGEO,jlcparts SQLite,2026-09-05T12:46:35.126149+00:00
RC0402FR-0711R5L,C273702,0402,YAGEO,jlcparts SQLite,2026-09-05T12:46:35.135150+00:00
RC0402FR-0711RL,C295875,0402,YAGEO,jlcparts SQLite,2026-09-05T12:46:35.119150+00:00
RC0402FR-07120RL,C114758,0402,YAGEO,jlcparts SQLite,2026-09-05T12:47:21.146180+00:00
RC0402FR-07121KL,C112303,0402,YAGEO,jlcparts SQLite,2026-09-05T12:46:35.160150+00:00
RC0402FR-07121RL,C194878,0402,YAGEO,jlcparts SQLite,2026-09-05T12:46:35.153150+00:00
RC0402FR-07127KL,C138061,0402,YAGEO,jlcparts SQLite,2026-09-05T12:46:35.176150+00:00
RC0402FR-07127RL,C276259,0402,YAGEO,jlcparts SQLite,2026-09-05T12:46:35.169149+00:00
RC0402FR-0712K1L,C132157,0402,YAGEO,jlcparts SQLite,2026-09-05T12:46:35.158150+00:00
RC0402FR-0712K7L,C138059,0402,YAGEO,jlcparts SQLite,2026-09-05T12:46:35.174149+00:00
RC0402FR-0712R1L,C477606,0402,YAGEO,jlcparts SQLite,2026-09-05T12:46:35.151150+00:00
RC0402FR-0712R7L,C245884,0402,YAGEO,jlcparts SQLite,2026-09-05T12:46:35.167149+00:00
RC0402FR-07133KL,C327374,0402,YAGEO,jlcparts SQLite,2026-09-05T12:46:35.192149+00:00
RC0402FR-07133RL,C327373,0402,YAGEO,jlcparts SQLite,2026-09-05T12:46:35.185150+00:00
RC0402FR-0713K3L,C274352,0402,YAGEO,jlcparts SQLite,2026-09-05T12:46:35.190149+00:00
RC0402FR-0713R3L,C477608,0402,YAGEO,jlcparts SQLite,2026-09-05T12:46:35.183150+00:00
RC0402FR-07140KL,C114151,0402,YAGEO,jlcparts SQLite,2026-09-05T12:46:35.209150+00:00
RC0402FR-07140RL,C138056,0402,YAGEO,jlcparts SQLite,2026-09-05T12:46:35.202150+00:00
RC0402FR-07147KL,C163489,0402,YAGEO,jlcparts SQLite,2026-09-05T12:46:35.226149+00:00
RC0402FR-07147RL,C245885,0402,YAGEO,jlcparts SQLite,2026-09-05T12:46:35.219149+00:00
RC0402FR-0714K7L,C138055,0402,YAGEO,jlcparts SQLite,2026-09-05T12:46:35.223150+00:00
RC0402FR-0714KL,C327372,0402,YAGEO,jlcparts SQLite,2026-09-05T12:46:35.207149+00:00
RC0402FR-0714R7L,C477612,0402,YAGEO,jlcparts SQLite,2026-09-05T12:46:35.216150+00:00
RC0402FR-0714RL,C477614,0402,YAGEO,jlcparts SQLite,2026-09-05T12:46:35.199150+00:00
RC0402FR-07154KL,C138053,0402,YAGEO,jlcparts SQLite,2026-09-05T12:46:35.243149+00:00
